"from","to"
0,2
0,35
0,67
0,72
0,77
0,82
0,90
1,51
3,12
3,40
3,41
3,51
3,71
3,81
3,84
3,91
4,2
4,35
4,67
4,72
4,77
4,82
4,90
5,2
5,35
5,67
5,72
5,77
5,82
5,90
6,2
6,35
6,67
6,72
6,77
6,82
6,90
7,2
7,35
7,67
7,72
7,77
7,82
7,90
8,2
8,67
8,72
8,77
8,82
8,90
9,10
9,12
9,14
9,16
9,17
9,34
9,37
9,40
9,41
9,43
9,45
9,51
9,52
9,55
9,58
9,59
9,62
9,65
9,66
9,68
9,69
9,71
9,81
9,84
9,91
9,93
9,96
9,97
9,99
11,2
11,67
11,72
11,77
11,82
11,90
12,51
13,2
13,35
13,67
13,72
13,77
13,82
13,90
14,40
14,51
14,71
14,84
14,91
15,12
15,16
15,17
15,34
15,37
15,40
15,41
15,43
15,45
15,51
15,52
15,58
15,62
15,66
15,68
15,69
15,71
15,81
15,84
15,91
15,93
15,96
15,97
15,99
16,12
16,40
16,41
16,51
16,71
16,81
16,84
16,91
16,93
17,12
17,40
17,51
17,81
17,84
17,91
18,2
18,35
18,67
18,72
18,77
18,82
18,90
19,2
19,35
19,67
19,72
19,77
19,82
19,90
20,2
20,35
20,67
20,72
20,77
20,82
20,90
22,2
22,35
22,67
22,72
22,77
22,82
22,90
23,12
23,16
23,17
23,34
23,37
23,40
23,41
23,43
23,45
23,51
23,52
23,55
23,58
23,62
23,66
23,68
23,69
23,71
23,81
23,84
23,91
23,93
23,96
23,97
23,99
24,2
24,35
24,67
24,72
24,77
24,82
24,90
25,2
25,35
25,67
25,72
25,77
25,82
25,90
26,2
26,35
26,67
26,72
26,77
26,82
26,90
27,2
27,35
27,67
27,72
27,77
27,82
27,90
28,12
28,16
28,17
28,34
28,37
28,40
28,41
28,43
28,45
28,51
28,52
28,55
28,58
28,62
28,66
28,68
28,69
28,71
28,81
28,84
28,91
28,93
28,96
28,97
28,99
29,2
29,35
29,67
29,72
29,77
29,82
29,90
30,2
30,35
30,67
30,72
30,77
30,82
30,90
31,2
31,35
31,67
31,72
31,77
31,82
31,90
32,2
32,35
32,67
32,72
32,77
32,82
32,90
33,2
33,67
33,72
33,77
33,82
33,90
34,12
34,40
34,41
34,51
34,71
34,81
34,84
34,91
35,5
35,10
35,12
35,13
35,14
35,16
35,17
35,27
35,29
35,34
35,37
35,40
35,41
35,43
35,45
35,51
35,52
35,55
35,57
35,58
35,59
35,62
35,65
35,66
35,68
35,69
35,71
35,73
35,75
35,81
35,84
35,91
35,93
35,96
35,97
35,99
36,2
36,35
36,67
36,72
36,77
36,82
36,90
37,40
37,51
37,71
37,84
37,91
38,12
38,40
38,41
38,45
38,51
38,52
38,71
38,81
38,84
38,91
38,93
38,97
39,2
39,35
39,67
39,72
39,77
39,82
39,90
41,40
41,51
41,71
41,84
41,91
42,2
42,35
42,67
42,72
42,77
42,82
42,90
43,40
43,41
43,51
43,71
43,84
43,91
44,2
44,35
44,67
44,72
44,77
44,82
44,90
45,12
45,40
45,41
45,51
45,71
45,81
45,84
45,91
45,93
46,2
46,35
46,67
46,72
46,77
46,82
46,90
47,2
47,35
47,67
47,72
47,77
47,82
47,90
49,12
49,16
49,17
49,34
49,37
49,40
49,41
49,43
49,45
49,51
49,52
49,58
49,62
49,66
49,68
49,69
49,71
49,81
49,84
49,91
49,93
49,96
49,97
49,99
50,2
50,35
50,67
50,72
50,77
50,82
50,90
53,2
53,35
53,67
53,72
53,77
53,82
53,90
54,12
54,16
54,17
54,34
54,37
54,40
54,41
54,43
54,45
54,51
54,52
54,55
54,58
54,62
54,66
54,68
54,69
54,71
54,81
54,84
54,91
54,93
54,96
54,97
54,99
55,12
55,17
55,40
55,41
55,45
55,51
55,52
55,62
55,69
55,71
55,81
55,84
55,91
55,93
55,97
55,99
56,2
56,35
56,67
56,72
56,77
56,82
56,90
57,2
57,35
57,67
57,72
57,77
57,82
57,90
58,40
58,51
58,81
58,84
59,2
59,35
59,67
59,72
59,77
59,82
59,90
60,2
60,35
60,67
60,72
60,77
60,82
60,90
61,12
61,16
61,17
61,34
61,37
61,40
61,41
61,43
61,45
61,51
61,52
61,58
61,62
61,66
61,68
61,69
61,71
61,81
61,84
61,91
61,93
61,96
61,97
61,99
62,40
62,41
62,51
62,71
62,84
62,91
63,2
63,35
63,67
63,72
63,77
63,82
63,90
64,2
64,35
64,67
64,72
64,77
64,82
64,90
65,12
65,40
65,41
65,51
65,71
65,81
65,84
65,91
67,5
67,10
67,12
67,13
67,14
67,16
67,17
67,27
67,29
67,34
67,37
67,40
67,41
67,43
67,45
67,51
67,52
67,55
67,57
67,58
67,59
67,62
67,65
67,66
67,68
67,69
67,71
67,73
67,75
67,81
67,84
67,91
67,93
67,96
67,97
67,99
68,40
68,41
68,51
68,71
68,84
68,91
69,40
69,41
69,51
69,71
69,81
69,84
69,91
70,12
70,16
70,17
70,34
70,37
70,40
70,41
70,43
70,45
70,51
70,52
70,55
70,58
70,62
70,66
70,68
70,69
70,71
70,81
70,84
70,91
70,93
70,96
70,97
70,99
72,10
72,12
72,13
72,14
72,16
72,17
72,27
72,29
72,34
72,37
72,40
72,41
72,43
72,45
72,51
72,52
72,55
72,57
72,58
72,59
72,62
72,65
72,66
72,68
72,69
72,71
72,73
72,75
72,81
72,84
72,91
72,93
72,96
72,97
72,99
73,2
73,35
73,67
73,72
73,77
73,82
73,90
74,2
74,35
74,67
74,72
74,77
74,82
74,90
75,2
75,35
75,67
75,72
75,77
75,82
75,90
76,2
76,67
76,82
77,12
77,40
77,41
77,51
77,71
77,81
77,84
77,91
79,2
79,67
79,72
79,82
80,10
80,12
80,14
80,16
80,17
80,34
80,37
80,40
80,41
80,43
80,45
80,51
80,52
80,55
80,58
80,62
80,66
80,68
80,69
80,71
80,81
80,84
80,91
80,93
80,96
80,97
80,99
82,5
82,10
82,12
82,13
82,14
82,16
82,17
82,27
82,29
82,34
82,37
82,40
82,41
82,43
82,45
82,51
82,52
82,55
82,57
82,58
82,59
82,62
82,65
82,66
82,68
82,69
82,71
82,73
82,75
82,81
82,84
82,91
82,93
82,96
82,97
82,99
83,2
83,67
83,72
83,77
83,82
83,90
84,12
84,40
84,51
84,91
85,10
85,12
85,16
85,17
85,34
85,37
85,40
85,41
85,43
85,45
85,51
85,52
85,55
85,58
85,62
85,66
85,68
85,69
85,71
85,81
85,84
85,91
85,93
85,96
85,97
85,99
86,10
86,12
86,14
86,16
86,17
86,34
86,37
86,40
86,41
86,43
86,45
86,51
86,52
86,55
86,58
86,62
86,66
86,68
86,69
86,71
86,81
86,84
86,91
86,93
86,96
86,97
86,99
87,2
87,35
87,67
87,72
87,77
87,82
87,90
88,12
88,16
88,17
88,40
88,41
88,45
88,51
88,52
88,62
88,66
88,69
88,71
88,81
88,84
88,91
88,93
88,96
88,97
88,99
89,10
89,12
89,14
89,16
89,17
89,34
89,37
89,40
89,41
89,43
89,45
89,51
89,52
89,55
89,58
89,62
89,66
89,68
89,69
89,71
89,81
89,84
89,91
89,93
89,96
89,97
89,99
90,12
90,16
90,17
90,34
90,37
90,40
90,41
90,43
90,45
90,51
90,52
90,55
90,58
90,62
90,66
90,68
90,69
90,71
90,81
90,84
90,91
90,93
90,96
90,97
90,99
91,51
91,84
92,10
92,12
92,16
92,17
92,34
92,37
92,40
92,41
92,43
92,45
92,51
92,52
92,55
92,58
92,62
92,66
92,68
92,69
92,71
92,81
92,84
92,91
92,93
92,96
92,97
92,99
94,10
94,12
94,14
94,16
94,17
94,34
94,37
94,40
94,41
94,43
94,45
94,51
94,52
94,55
94,58
94,62
94,66
94,68
94,69
94,71
94,81
94,84
94,91
94,93
94,96
