"from","to"
"0","9"
"0","25"
"0","31"
"0","35"
"0","39"
"0","43"
"0","46"
"0","72"
"0","78"
"1","18"
"1","23"
"1","25"
"1","43"
"1","72"
"1","85"
"1","99"
"2","9"
"2","25"
"2","39"
"2","43"
"2","47"
"2","65"
"2","78"
"2","85"
"2","86"
"3","8"
"3","9"
"3","35"
"3","39"
"3","43"
"3","72"
"3","78"
"3","85"
"4","9"
"4","25"
"4","26"
"4","27"
"4","35"
"4","39"
"4","66"
"4","72"
"4","78"
"4","82"
"4","85"
"5","2"
"5","8"
"5","19"
"5","25"
"5","39"
"5","43"
"5","49"
"5","71"
"5","72"
"5","78"
"5","85"
"5","98"
"6","9"
"6","25"
"6","35"
"6","72"
"6","78"
"6","85"
"7","9"
"7","25"
"7","35"
"7","72"
"7","85"
"8","9"
"8","48"
"8","64"
"8","72"
"8","79"
"9","25"
"9","43"
"9","72"
"9","75"
"10","9"
"10","25"
"10","43"
"10","44"
"10","73"
"10","74"
"10","78"
"10","79"
"10","85"
"11","18"
"11","25"
"11","39"
"11","43"
"11","72"
"11","78"
"11","79"
"11","85"
"12","8"
"12","9"
"12","43"
"12","78"
"12","85"
"12","86"
"13","35"
"13","66"
"13","68"
"13","72"
"13","78"
"14","5"
"14","9"
"14","11"
"14","19"
"14","25"
"14","39"
"14","74"
"14","78"
"14","83"
"15","28"
"15","40"
"15","43"
"15","72"
"15","78"
"15","85"
"16","9"
"16","25"
"16","43"
"16","78"
"17","8"
"17","9"
"17","49"
"17","86"
"18","9"
"18","25"
"18","35"
"18","39"
"18","72"
"18","78"
"18","85"
"19","9"
"19","35"
"19","44"
"19","72"
"19","73"
"19","78"
"20","9"
"20","25"
"20","30"
"20","32"
"20","39"
"20","43"
"20","49"
"20","72"
"20","73"
"20","78"
"20","85"
"21","9"
"21","19"
"21","28"
"21","32"
"21","35"
"21","48"
"21","49"
"21","72"
"21","78"
"21","90"
"22","9"
"22","16"
"22","25"
"22","43"
"22","72"
"22","78"
"22","85"
"23","9"
"23","25"
"23","26"
"23","27"
"23","32"
"23","39"
"23","43"
"23","44"
"23","66"
"23","78"
"23","80"
"23","85"
"24","9"
"24","10"
"24","25"
"24","35"
"24","39"
"24","72"
"24","78"
"24","85"
"25","39"
"25","68"
"25","72"
"25","78"
"25","79"
"26","9"
"26","35"
"26","68"
"26","72"
"26","78"
"27","9"
"27","25"
"27","35"
"27","39"
"27","41"
"27","72"
"27","78"
"27","85"
"27","86"
"28","1"
"28","25"
"28","26"
"28","43"
"28","68"
"28","85"
"28","86"
"29","16"
"29","25"
"29","35"
"29","39"
"29","72"
"29","78"
"29","79"
"29","85"
"30","7"
"30","18"
"30","25"
"30","26"
"30","35"
"30","43"
"30","64"
"30","72"
"30","78"
"30","85"
"31","9"
"31","13"
"31","72"
"31","78"
"31","79"
"31","85"
"32","0"
"32","9"
"32","25"
"32","35"
"32","72"
"32","78"
"33","9"
"33","25"
"33","35"
"33","72"
"33","85"
"33","86"
"34","7"
"34","15"
"34","78"
"35","34"
"35","43"
"35","73"
"35","78"
"35","80"
"35","85"
"35","86"
"36","25"
"36","35"
"36","39"
"36","43"
"36","52"
"36","68"
"36","78"
"36","85"
"36","99"
"37","2"
"37","9"
"37","19"
"37","25"
"37","32"
"37","36"
"37","43"
"37","71"
"37","78"
"37","79"
"38","8"
"38","25"
"38","43"
"38","73"
"38","74"
"38","78"
"38","85"
"39","9"
"39","25"
"39","35"
"39","72"
"39","78"
"39","85"
"40","1"
"40","9"
"40","10"
"40","13"
"40","39"
"40","43"
"40","62"
"40","69"
"40","79"
"40","83"
"40","85"
"41","5"
"41","19"
"41","25"
"41","35"
"41","39"
"41","72"
"41","78"
"42","9"
"42","21"
"42","25"
"42","39"
"42","43"
"42","72"
"42","78"
"42","82"
"42","85"
"42","88"
"43","9"
"43","26"
"43","44"
"43","78"
"44","25"
"44","35"
"44","39"
"44","74"
"44","78"
"44","85"
"45","41"
"45","64"
"45","86"
"46","9"
"46","11"
"46","25"
"46","30"
"46","39"
"46","72"
"46","78"
"46","83"
"46","85"
"47","5"
"47","9"
"47","13"
"47","25"
"47","35"
"47","41"
"47","43"
"47","72"
"47","78"
"47","85"
"48","9"
"48","59"
"48","61"
"48","78"
"48","85"
"49","5"
"49","6"
"49","7"
"49","15"
"49","25"
"49","26"
"49","43"
"49","51"
"49","58"
"49","66"
"49","72"
"49","78"
"49","84"
"49","85"
"49","86"
"50","9"
"50","21"
"50","25"
"50","32"
"50","33"
"50","49"
"50","72"
"50","78"
"50","85"
"51","9"
"51","11"
"51","25"
"51","43"
"51","59"
"51","65"
"51","78"
"51","85"
"51","86"
"52","9"
"52","13"
"52","25"
"52","26"
"52","32"
"52","43"
"52","47"
"52","76"
"52","78"
"52","85"
"53","9"
"53","35"
"53","49"
"53","72"
"53","78"
"54","6"
"54","25"
"54","39"
"54","43"
"54","72"
"54","78"
"54","85"
"55","9"
"55","25"
"55","39"
"55","43"
"55","47"
"55","72"
"55","76"
"55","78"
"55","85"
"56","9"
"56","35"
"56","43"
"56","72"
"56","78"
"56","86"
"57","15"
"57","35"
"57","43"
"57","45"
"57","64"
"57","72"
"58","9"
"58","25"
"58","32"
"58","43"
"58","49"
"58","52"
"58","73"
"58","78"
"58","85"
"59","9"
"59","16"
"59","22"
"59","26"
"59","35"
"59","43"
"59","49"
"59","72"
"59","78"
"60","8"
"60","9"
"60","13"
"60","19"
"60","25"
"60","38"
"60","39"
"60","43"
"60","48"
"60","49"
"60","72"
"60","78"
"60","85"
"61","9"
"61","25"
"61","33"
"61","43"
"61","51"
"61","59"
"61","78"
"61","85"
"61","86"
"61","99"
"62","25"
"62","43"
"62","69"
"62","73"
"62","78"
"62","79"
"62","85"
"62","88"
"63","9"
"63","16"
"63","25"
"63","39"
"63","43"
"63","61"
"63","70"
"63","72"
"63","78"
"63","80"
"63","85"
"63","86"
"63","99"
"64","9"
"64","35"
"64","43"
"65","9"
"65","62"
"65","77"
"65","78"
"65","85"
"66","9"
"66","25"
"66","61"
"66","78"
"66","79"
"66","80"
"66","85"
"67","9"
"67","16"
"67","25"
"67","39"
"67","43"
"67","61"
"67","73"
"67","78"
"67","80"
"67","82"
"67","85"
"68","9"
"68","25"
"68","30"
"68","43"
"68","46"
"68","75"
"68","78"
"68","85"
"69","8"
"69","9"
"69","18"
"69","25"
"69","43"
"69","78"
"69","79"
"70","7"
"70","13"
"70","15"
"70","25"
"70","39"
"70","43"
"70","44"
"70","58"
"70","78"
"70","85"
"70","86"
"71","8"
"71","9"
"71","32"
"71","39"
"71","43"
"71","49"
"71","78"
"71","85"
"71","86"
"72","6"
"72","9"
"72","18"
"72","25"
"72","26"
"72","43"
"72","78"
"72","85"
"73","25"
"73","26"
"73","35"
"73","39"
"73","43"
"73","72"
"73","78"
"73","85"
"74","9"
"74","13"
"74","21"
"74","35"
"74","72"
"74","78"
"75","35"
"75","72"
"75","78"
"76","9"
"76","18"
"76","25"
"76","32"
"76","35"
"76","39"
"76","56"
"76","72"
"76","73"
"76","85"
"77","9"
"77","27"
"77","28"
"77","79"
"78","25"
"78","26"
"78","43"
"78","72"
"78","85"
"79","9"
"79","39"
"79","72"
"79","78"
"79","85"
"79","86"
"80","9"
"80","13"
"80","25"
"80","30"
"80","39"
"80","43"
"80","45"
"80","47"
"80","62"
"80","78"
"80","79"
"80","85"
"81","5"
"81","9"
"81","19"
"81","25"
"81","43"
"81","78"
"82","9"
"82","31"
"82","38"
"82","43"
"82","44"
"82","46"
"82","73"
"82","78"
"82","86"
"83","9"
"83","35"
"83","72"
"83","78"
"83","85"
"83","90"
"84","25"
"84","26"
"84","30"
"84","39"
"84","48"
"84","64"
"84","72"
"84","78"
"84","79"
"84","85"
"84","94"
"85","9"
"85","23"
"85","25"
"85","30"
"85","32"
"85","39"
"85","43"
"85","52"
"85","57"
"85","78"
"86","9"
"86","25"
"86","35"
"86","39"
"86","43"
"86","72"
"86","78"
"86","79"
"86","84"
"86","85"
"86","91"
"87","25"
"87","31"
"87","35"
"87","39"
"87","46"
"87","72"
"87","78"
"88","8"
"88","9"
"88","25"
"88","26"
"88","39"
"88","43"
"88","49"
"88","67"
"88","78"
"88","79"
"88","85"
"89","9"
"89","25"
"89","26"
"89","30"
"89","39"
"89","43"
"89","61"
"89","64"
"89","70"
"89","78"
"89","79"
"89","85"
"90","9"
"90","10"
"90","13"
"90","25"
"90","39"
"90","43"
"90","75"
"90","78"
"91","9"
"91","25"
"91","43"
"91","47"
"91","76"
"91","78"
"91","85"
"92","9"
"92","25"
"92","32"
"92","33"
"92","34"
"92","35"
"92","39"
"92","43"
"92","73"
"92","78"
"92","85"
"93","6"
"93","9"
"93","78"
"93","86"
"94","16"
"94","49"
"95","18"
"95","26"
"95","32"
"95","34"
"95","39"
"95","43"
"95","64"
"95","80"
"95","85"
"95","99"
"96","8"
"96","25"
"96","39"
"96","43"
"96","44"
"96","47"
"96","49"
"96","62"
"96","78"
"96","85"
"97","1"
"97","26"
"97","47"
"97","66"
"97","68"
"97","76"
"98","9"
"98","35"
"98","72"
"98","78"
"98","83"
"98","86"
"99","9"
"99","13"
"99","25"
"99","78"
"99","85"
