"from","to"
"0","16"
"0","19"
"0","23"
"0","28"
"0","35"
"0","42"
"0","58"
"0","88"
"1","3"
"1","14"
"1","15"
"1","21"
"1","25"
"1","31"
"1","38"
"1","40"
"1","58"
"1","68"
"1","74"
"1","81"
"1","88"
"1","90"
"2","25"
"2","28"
"2","43"
"2","63"
"2","88"
"3","14"
"3","63"
"3","80"
"4","0"
"4","3"
"4","25"
"4","28"
"4","43"
"4","63"
"4","88"
"4","92"
"5","8"
"5","19"
"5","28"
"5","35"
"5","45"
"5","49"
"5","72"
"6","9"
"6","13"
"6","16"
"6","20"
"6","23"
"6","28"
"6","35"
"6","38"
"6","42"
"6","45"
"6","49"
"6","63"
"6","67"
"6","69"
"6","78"
"6","85"
"6","88"
"6","90"
"7","3"
"7","28"
"7","42"
"7","49"
"7","88"
"8","3"
"8","28"
"8","35"
"8","45"
"8","81"
"8","88"
"9","3"
"9","14"
"9","36"
"9","37"
"9","62"
"9","68"
"9","80"
"9","81"
"10","0"
"10","3"
"10","7"
"10","27"
"10","29"
"10","36"
"10","59"
"10","63"
"10","81"
"10","92"
"11","9"
"11","13"
"11","18"
"11","25"
"11","28"
"11","35"
"11","42"
"11","49"
"11","58"
"11","63"
"11","69"
"11","99"
"12","27"
"12","29"
"13","25"
"13","63"
"13","84"
"14","3"
"14","13"
"14","25"
"14","30"
"14","63"
"14","74"
"14","78"
"15","0"
"15","3"
"15","14"
"15","16"
"15","63"
"15","81"
"15","88"
"16","14"
"16","59"
"16","63"
"16","89"
"16","98"
"17","3"
"17","27"
"17","62"
"17","63"
"18","14"
"18","25"
"18","28"
"18","49"
"18","88"
"19","0"
"19","3"
"19","8"
"19","28"
"19","44"
"19","45"
"19","48"
"19","49"
"19","76"
"19","90"
"19","91"
"20","3"
"20","16"
"20","21"
"20","28"
"20","45"
"20","49"
"20","57"
"20","72"
"20","88"
"20","99"
"21","0"
"21","3"
"21","13"
"21","14"
"21","28"
"21","49"
"21","58"
"21","59"
"21","62"
"21","69"
"22","3"
"22","16"
"22","27"
"22","28"
"22","45"
"22","49"
"22","63"
"22","90"
"23","1"
"23","6"
"23","63"
"23","68"
"23","81"
"24","3"
"24","8"
"24","23"
"24","28"
"24","45"
"24","49"
"24","59"
"24","87"
"24","90"
"24","91"
"25","3"
"25","49"
"25","88"
"26","3"
"26","49"
"27","14"
"27","25"
"27","28"
"27","44"
"27","49"
"27","63"
"27","80"
"27","88"
"28","3"
"28","38"
"28","40"
"28","83"
"28","88"
"29","7"
"29","25"
"29","30"
"29","42"
"29","63"
"29","78"
"29","88"
"29","90"
"30","13"
"30","28"
"30","42"
"30","49"
"30","58"
"30","88"
"31","17"
"31","28"
"31","29"
"31","30"
"31","45"
"31","49"
"31","90"
"32","22"
"32","27"
"32","28"
"32","45"
"32","49"
"32","67"
"32","71"
"32","72"
"32","85"
"32","88"
"32","90"
"33","3"
"33","36"
"33","37"
"33","45"
"33","64"
"33","74"
"33","82"
"33","88"
"34","43"
"34","92"
"35","2"
"35","27"
"35","29"
"35","36"
"35","59"
"35","72"
"36","0"
"36","3"
"36","9"
"36","15"
"36","25"
"36","28"
"36","37"
"36","63"
"36","68"
"36","78"
"36","88"
"37","3"
"37","18"
"37","63"
"38","6"
"38","16"
"38","27"
"38","29"
"38","63"
"38","76"
"38","88"
"39","49"
"40","16"
"40","21"
"40","48"
"40","49"
"40","63"
"40","72"
"41","3"
"41","20"
"41","28"
"41","37"
"41","45"
"41","46"
"41","49"
"41","60"
"41","67"
"41","88"
"41","90"
"41","99"
"42","7"
"42","35"
"42","88"
"43","1"
"43","6"
"43","27"
"43","63"
"44","0"
"44","2"
"44","3"
"44","18"
"44","59"
"44","60"
"44","72"
"44","77"
"44","79"
"44","81"
"44","88"
"44","99"
"45","14"
"45","18"
"45","29"
"45","42"
"45","90"
"46","0"
"46","3"
"47","3"
"47","43"
"47","88"
"48","45"
"48","62"
"48","63"
"48","97"
"49","3"
"49","48"
"49","81"
"50","3"
"50","20"
"50","28"
"50","30"
"50","45"
"50","49"
"50","88"
"50","90"
"51","28"
"51","49"
"51","63"
"51","72"
"51","90"
"52","18"
"52","27"
"52","63"
"52","66"
"53","3"
"53","25"
"53","28"
"53","42"
"53","88"
"53","93"
"54","7"
"54","14"
"54","21"
"54","38"
"54","72"
"54","76"
"54","81"
"54","88"
"54","93"
"54","99"
"55","18"
"55","28"
"55","44"
"55","46"
"55","71"
"55","76"
"55","88"
"55","89"
"56","3"
"56","46"
"56","60"
"56","88"
"56","90"
"56","99"
"57","63"
"57","88"
"58","0"
"58","3"
"58","14"
"58","29"
"58","37"
"58","59"
"58","81"
"59","1"
"59","6"
"59","25"
"59","63"
"59","68"
"59","74"
"59","88"
"59","98"
"60","0"
"60","3"
"60","33"
"60","40"
"60","49"
"60","59"
"60","61"
"60","93"
"61","3"
"61","49"
"61","60"
"61","80"
"61","88"
"61","90"
"62","3"
"62","13"
"62","14"
"62","69"
"62","81"
"62","90"
"63","3"
"63","49"
"64","3"
"64","8"
"64","13"
"64","38"
"64","40"
"64","69"
"64","83"
"65","0"
"65","3"
"65","27"
"65","38"
"65","40"
"65","74"
"65","83"
"66","0"
"66","8"
"66","14"
"66","19"
"66","21"
"66","23"
"66","28"
"66","44"
"66","59"
"66","72"
"66","91"
"66","99"
"67","1"
"67","3"
"67","6"
"67","18"
"67","27"
"67","29"
"67","36"
"67","43"
"68","6"
"68","7"
"68","13"
"68","76"
"68","88"
"69","6"
"69","7"
"69","49"
"69","59"
"69","63"
"70","3"
"70","7"
"70","20"
"70","25"
"70","35"
"70","38"
"70","67"
"70","68"
"70","74"
"70","88"
"71","0"
"71","3"
"71","23"
"71","74"
"72","3"
"72","20"
"72","27"
"72","38"
"72","40"
"72","45"
"72","83"
"73","5"
"73","25"
"73","28"
"73","49"
"73","63"
"73","81"
"73","88"
"74","42"
"74","49"
"74","88"
"74","90"
"75","0"
"75","3"
"75","19"
"75","25"
"75","37"
"75","63"
"75","88"
"76","37"
"76","63"
"76","88"
"76","90"
"77","3"
"77","19"
"77","44"
"77","74"
"77","84"
"77","88"
"77","89"
"77","90"
"78","3"
"78","7"
"78","76"
"78","88"
"79","93"
"80","3"
"80","13"
"80","14"
"80","63"
"80","69"
"80","81"
"81","3"
"81","33"
"81","37"
"81","62"
"81","80"
"82","27"
"82","29"
"83","0"
"83","3"
"83","25"
"83","31"
"83","45"
"83","59"
"83","64"
"83","88"
"83","90"
"84","3"
"84","25"
"84","28"
"84","48"
"84","63"
"84","67"
"84","83"
"84","88"
"85","3"
"85","17"
"85","29"
"85","37"
"85","81"
"86","3"
"86","25"
"86","63"
"86","81"
"86","93"
"87","0"
"87","13"
"87","23"
"87","25"
"87","28"
"87","37"
"87","45"
"87","63"
"87","69"
"87","72"
"87","88"
"87","99"
"88","8"
"88","9"
"88","63"
"88","91"
