"from","to"
"0","1"
"0","8"
"0","9"
"0","15"
"0","23"
"0","35"
"0","45"
"0","49"
"0","61"
"0","67"
"0","70"
"0","72"
"0","78"
"0","80"
"0","85"
"0","89"
"0","90"
"0","95"
"1","10"
"1","14"
"1","16"
"1","17"
"1","21"
"1","37"
"1","40"
"1","43"
"1","48"
"1","51"
"1","52"
"1","55"
"1","58"
"1","62"
"1","65"
"1","66"
"1","68"
"1","74"
"1","76"
"1","81"
"1","84"
"1","96"
"1","99"
"2","0"
"2","8"
"2","9"
"2","15"
"2","23"
"2","35"
"2","45"
"2","49"
"2","61"
"2","67"
"2","70"
"2","78"
"2","80"
"2","85"
"2","88"
"2","89"
"2","90"
"3","9"
"3","15"
"3","23"
"3","30"
"3","35"
"3","45"
"3","49"
"3","50"
"3","61"
"3","67"
"3","70"
"3","78"
"3","80"
"3","85"
"3","88"
"4","0"
"4","8"
"4","9"
"4","15"
"4","23"
"4","35"
"4","45"
"4","49"
"4","61"
"4","67"
"4","70"
"4","72"
"4","78"
"4","80"
"4","85"
"4","88"
"4","89"
"4","90"
"5","0"
"5","8"
"5","9"
"5","15"
"5","23"
"5","35"
"5","45"
"5","49"
"5","61"
"5","67"
"5","70"
"5","72"
"5","78"
"5","80"
"5","85"
"5","89"
"6","0"
"6","8"
"6","9"
"6","15"
"6","23"
"6","35"
"6","45"
"6","49"
"6","61"
"6","67"
"6","70"
"6","78"
"6","80"
"6","85"
"6","88"
"6","89"
"6","90"
"7","0"
"7","9"
"7","15"
"7","23"
"7","35"
"7","45"
"7","49"
"7","61"
"7","67"
"7","70"
"7","78"
"7","80"
"7","85"
"7","88"
"7","89"
"7","90"
"8","0"
"8","9"
"8","15"
"8","23"
"8","35"
"8","45"
"8","49"
"8","67"
"8","70"
"8","78"
"8","80"
"8","85"
"8","89"
"8","90"
"9","10"
"9","12"
"9","14"
"9","16"
"9","17"
"9","21"
"9","43"
"9","45"
"9","48"
"9","51"
"9","52"
"9","58"
"9","62"
"9","65"
"9","66"
"9","68"
"9","81"
"9","96"
"10","1"
"10","2"
"10","3"
"10","17"
"10","27"
"10","43"
"10","44"
"10","48"
"10","53"
"10","58"
"10","59"
"10","62"
"10","73"
"10","75"
"10","81"
"10","84"
"10","87"
"10","96"
"11","0"
"11","8"
"11","9"
"11","15"
"11","23"
"11","35"
"11","45"
"11","49"
"11","61"
"11","67"
"11","70"
"11","72"
"11","78"
"11","80"
"11","85"
"11","89"
"11","90"
"12","1"
"12","9"
"12","15"
"12","23"
"12","49"
"12","59"
"12","78"
"12","79"
"13","0"
"13","8"
"13","9"
"13","15"
"13","23"
"13","35"
"13","45"
"13","49"
"13","61"
"13","67"
"13","70"
"13","72"
"13","78"
"13","80"
"13","85"
"13","88"
"13","89"
"13","90"
"14","9"
"14","15"
"14","23"
"14","35"
"14","45"
"14","49"
"14","78"
"14","80"
"14","85"
"15","10"
"15","14"
"15","16"
"15","17"
"15","21"
"15","37"
"15","40"
"15","43"
"15","48"
"15","51"
"15","52"
"15","55"
"15","58"
"15","62"
"15","65"
"15","66"
"15","68"
"15","74"
"15","76"
"15","81"
"15","84"
"15","96"
"16","10"
"16","21"
"16","37"
"16","40"
"16","43"
"16","48"
"16","58"
"16","62"
"16","65"
"16","79"
"16","81"
"16","96"
"17","1"
"17","79"
"18","0"
"18","8"
"18","9"
"18","15"
"18","23"
"18","35"
"18","45"
"18","49"
"18","61"
"18","67"
"18","70"
"18","78"
"18","80"
"18","85"
"18","89"
"18","90"
"19","0"
"19","1"
"19","8"
"19","9"
"19","15"
"19","23"
"19","35"
"19","45"
"19","49"
"19","61"
"19","67"
"19","70"
"19","78"
"19","80"
"19","85"
"19","89"
"19","90"
"20","0"
"20","1"
"20","9"
"20","15"
"20","23"
"20","35"
"20","45"
"20","49"
"20","61"
"20","70"
"20","78"
"20","80"
"20","85"
"20","88"
"20","89"
"20","90"
"21","0"
"21","9"
"21","15"
"21","23"
"21","35"
"21","45"
"21","49"
"21","61"
"21","70"
"21","78"
"21","80"
"21","85"
"21","89"
"21","90"
"22","0"
"22","8"
"22","9"
"22","15"
"22","23"
"22","35"
"22","45"
"22","49"
"22","61"
"22","67"
"22","70"
"22","78"
"22","80"
"22","85"
"22","89"
"22","90"
"23","16"
"23","21"
"23","32"
"23","40"
"23","43"
"23","48"
"23","51"
"23","58"
"23","62"
"23","65"
"23","81"
"23","96"
"24","0"
"24","8"
"24","9"
"24","15"
"24","23"
"24","35"
"24","45"
"24","49"
"24","61"
"24","67"
"24","70"
"24","78"
"24","80"
"24","85"
"24","89"
"24","90"
"25","0"
"25","1"
"25","9"
"25","15"
"25","23"
"25","35"
"25","45"
"25","49"
"25","61"
"25","67"
"25","70"
"25","78"
"25","80"
"25","85"
"25","89"
"25","90"
"26","0"
"26","8"
"26","9"
"26","15"
"26","23"
"26","35"
"26","45"
"26","49"
"26","61"
"26","67"
"26","70"
"26","78"
"26","80"
"26","85"
"26","89"
"26","90"
"27","0"
"27","8"
"27","9"
"27","15"
"27","23"
"27","35"
"27","45"
"27","49"
"27","61"
"27","67"
"27","70"
"27","78"
"27","80"
"27","85"
"27","88"
"27","89"
"27","90"
"28","10"
"28","12"
"28","14"
"28","16"
"28","17"
"28","21"
"28","37"
"28","40"
"28","43"
"28","48"
"28","51"
"28","52"
"28","55"
"28","58"
"28","62"
"28","65"
"28","66"
"28","68"
"28","74"
"28","76"
"28","81"
"28","88"
"28","96"
"29","0"
"29","8"
"29","9"
"29","15"
"29","23"
"29","35"
"29","45"
"29","49"
"29","61"
"29","67"
"29","70"
"29","78"
"29","80"
"29","85"
"29","88"
"29","89"
"29","90"
"30","0"
"30","1"
"30","8"
"30","9"
"30","15"
"30","23"
"30","35"
"30","45"
"30","49"
"30","61"
"30","67"
"30","70"
"30","78"
"30","80"
"30","85"
"30","89"
"30","90"
"31","0"
"31","8"
"31","9"
"31","15"
"31","23"
"31","35"
"31","45"
"31","49"
"31","61"
"31","67"
"31","70"
"31","72"
"31","78"
"31","80"
"31","85"
"31","88"
"31","89"
"31","90"
"32","0"
"32","1"
"32","8"
"32","9"
"32","15"
"32","23"
"32","35"
"32","45"
"32","49"
"32","61"
"32","67"
"32","70"
"32","72"
"32","78"
"32","80"
"32","85"
"32","89"
"32","90"
"33","0"
"33","8"
"33","9"
"33","15"
"33","23"
"33","35"
"33","45"
"33","49"
"33","61"
"33","67"
"33","70"
"33","78"
"33","80"
"33","85"
"33","89"
"33","90"
"34","0"
"34","9"
"34","15"
"34","23"
"34","35"
"34","45"
"34","49"
"34","52"
"34","61"
"34","70"
"34","78"
"34","89"
"35","2"
"35","3"
"35","10"
"35","13"
"35","14"
"35","17"
"35","21"
"35","27"
"35","37"
"35","40"
"35","43"
"35","44"
"35","48"
"35","51"
"35","52"
"35","53"
"35","55"
"35","58"
"35","59"
"35","62"
"35","65"
"35","66"
"35","73"
"35","75"
"35","81"
"35","84"
"35","96"
"35","99"
"36","0"
"36","8"
"36","9"
"36","15"
"36","23"
"36","35"
"36","45"
"36","49"
"36","67"
"36","70"
"36","72"
"36","78"
"36","80"
"36","85"
"36","88"
"36","89"
"36","90"
"37","1"
"37","2"
"37","53"
"37","59"
"37","79"
"38","1"
"38","2"
"38","3"
"38","13"
"38","27"
"38","44"
"38","53"
"38","59"
"38","73"
"38","75"
"38","79"
"38","81"
"38","84"
"38","88"
"38","95"
"38","96"
"39","0"
"39","1"
"39","8"
"39","9"
"39","15"
"39","23"
"39","35"
"39","45"
"39","49"
"39","61"
"39","67"
"39","70"
"39","72"
"39","78"
"39","80"
"39","85"
"39","89"
"39","90"
"40","9"
"40","15"
"40","23"
"40","35"
"40","49"
"40","79"
"41","0"
"41","8"
"41","9"
"41","15"
"41","23"
"41","35"
"41","45"
"41","49"
"41","61"
"41","67"
"41","70"
"41","78"
"41","80"
"41","85"
"41","89"
"41","90"
"42","1"
"42","8"
"42","9"
"42","15"
"42","23"
"42","35"
"42","45"
"42","49"
"42","61"
"42","70"
"42","78"
"42","80"
"42","85"
"42","89"
"42","90"
"43","1"
"43","2"
"43","27"
"43","44"
"43","53"
"43","58"
"43","59"
"43","79"
"43","81"
"43","91"
"43","96"
"44","0"
"44","8"
"44","9"
"44","15"
"44","23"
"44","35"
"44","45"
"44","49"
"44","61"
"44","67"
"44","70"
"44","78"
"44","80"
"44","85"
"44","88"
"44","89"
"44","90"
"45","2"
"45","3"
"45","10"
"45","13"
"45","14"
"45","16"
"45","17"
"45","21"
"45","27"
"45","37"
"45","40"
"45","43"
"45","44"
"45","48"
"45","51"
"45","52"
"45","53"
"45","55"
